Raw Data - mass,,,,,,,
,targets i,,,,,,
neighbors J,A,D,F,L,P,S,T
A,19,14,2.3,13,18,8,1.5
D,21,9,1.4,33,23,11,2.5
F,44,6,1.6,17,16,13,7
L,32,10,1.3,26,12,16,6
P,16,4,1.1,16,13,6,1.7
S,35,7,1.7,29,17,8,4.2
T,29,9,1.4,25,13,12,2.6
,,,,,,,
Transpose,,,,,,,
,neighbors J,,,,,,
targets i,A,D,F,L,P,S,T
A,19,21,44,32,16,35,29
D,14,9,6,10,4,7,9
F,2.3,1.4,1.6,1.3,1.1,1.7,1.4
L,13,33,17,26,16,29,25
P,18,23,16,12,13,17,13
S,8,11,13,16,6,8,12
T,1.5,2.5,7,6,1.7,4.2,2.6
,,,,,,,
Relative Yield,,,,,,,
,neighbors J,,,,,,
targets i,A,D,F,L,P,S,T
A,1,1.10526315789474,2.31578947368421,1.68421052631579,0.842105263157895,1.84210526315789,1.52631578947368
D,1.55555555555556,1,0.666666666666667,1.11111111111111,0.444444444444444,0.777777777777778,1
F,1.4375,0.875,1,0.8125,0.6875,1.0625,0.875
L,0.5,1.26923076923077,0.653846153846154,1,0.615384615384615,1.11538461538462,0.961538461538462
P,1.38461538461538,1.76923076923077,1.23076923076923,0.923076923076923,1,1.30769230769231,1
S,1,1.375,1.625,2,0.75,1,1.5
T,0.576923076923077,0.961538461538461,2.69230769230769,2.30769230769231,0.653846153846154,1.61538461538462,1
,,,,,,,
Wins and Losses as binary,,,,,,,
1 indicates that row species outcompetes column species, 0 indicates its loss,,,,,,,
,neighbors J,,,,,,
targets i,A,D,F,L,P,S,T
A,,0,1*,1,0,1,1
D,1*,,0,0,0,0,1
F,0,1**,,1**,0,0,0
L,0,1*,0,,0,0,0
P,1,1,1,1**,,1,1
S,0,1,1,1*,0,,0
T,0,0,1,1,0,1*,
*each species grows better with its competitor (coexistence), but one species grows even better (the 1),,,,,,,
**each species grows better by itself (alternative stable state), but one species grows less worse in mixture (the 1),,,,,,,
,,,,,,,
,,,,,,,
Species reordered by overall competitive ability,,,,,,,
targets i,P,A,T,S,D,F,L
P,,1,1,1,1,1,1
A,0,,1,1,0,1,1
T,0,0,,1,0,1,1
S,0,0,0,,1,1,1
D,0,1,1,0,,0,0
F,0,0,0,0,1,,1
L,0,0,0,0,1,0,
,,,,,,,
Abundances in mixture plots established in the field (but only for two growing seasons),,,,,,,
,Foliar cover,Biomass,,,,,
A,23,237,,,,,
D,24,98,,,,,
F,8,0.6,,,,,
L,17,25,,,,,
P,11,24,,,,,
S,1,0.1,,,,,
T,1,40,,,,,
