order,date,code,plot,treatment,indiv,target,background,neighbours_number,fruits,unviable_seeds,seeds,,,,,,,,
1,2/4/15,21.1,21,C,1,SIAL,BRMA,4,65,1665,499.5,,,,,,,,
2,2/4/15,24.1,24,C,1,CABU,CABU,12,6,46,26.22,,,,,,,,
3,2/4/15,24.2,24,C,2,CABU,MACA,3,39,297,169.29,,,,,,,,
4,2/4/15,24.3,24,C,3,CAAR,CABU,20,40,384,188.16,,,,,,,,
5,2/4/15,24.4,24,C,4,DIER,CABU,5,221,1667,1100.22,,,,,,,,
6,2/4/15,24.5,24,C,5,CABU,CABU,4,36,274,156.18,,,,,,,,
7,2/4/15,24.6,24,C,6,SIAL,CABU,5,513,13138,3941.4,,,,,,,,
8,2/4/15,24.7,24,C,7,SIAL,CABU,10,19,487,146.1,,,,,,,,
9,2/4/15,24.8,24,C,8,CABU,CABU,3,10,76,43.32,,,,,,,,
10,2/4/15,24.9,24,C,9,SIAL,BRMA,1,225,5762,1728.6,,,,,,,,
11,2/4/15,25.1,25,C,1,CAAR,NA,0,107,1028,503.72,,,,,,,,
12,2/4/15,25.2,25,C,2,SIAL,BRMA,2,105,2689,806.7,,,,,,,,
13,2/4/15,27.1,27,C,1,SIAL,NA,0,102,2612,783.6,,,,,,,,
14,2/4/15,27.2,27,C,2,CAAR,NA,0,30,288,141.12,,,,,,,,
15,2/4/15,27.3,27,C,3,SIAL,SIAL,1,31,794,238.2,,,,,,,,
16,2/4/15,27.4,27,C,4,SIAL,NA,0,47,1204,361.2,,,,,,,,
17,2/4/15,29.1,29,C,1,DIER,MACA,6,112,845,557.7,,,,,,,,
18,2/4/15,29.2,29,C,2,CAAR,MACA,4,4,38,18.62,,,,,,,,
19,2/4/15,29.3,29,C,3,SIAL,MACA,5,51,1306,391.8,,,,,,,,
20,2/4/15,29.4,29,C,4,SIAL,MACA,6,25,640,192,,,,,,,,
21,2/4/15,29.5,29,C,5,CAAR,MACA,4,14,134,65.66,,,,,,,,
22,2/4/15,29.6,29,C,6,SIAL,MACA,1,22,563,168.9,,,,,,,,
23,2/4/15,30.1,30,C,1,CAAR,BRMA,3,12,115,56.35,,,,,,,,
24,2/4/15,30.2,30,C,2,SIAL,BRMA,4,274,7017,2105.1,,,,,,,,
25,2/4/15,30.3,30,C,3,SIAL,BRMA,3,35,896,268.8,,,,,,,,
26,2/4/15,31.1,31,C,1,SIAL,MEPO,9,25,640,192,,,,,,,,
27,2/4/15,31.2,31,C,2,SIAL,MEPO,7,56,1434,430.2,,,,,,,,
28,2/4/15,37.1,37,C,1,SIAL,DIER,1,362,9271,2781.3,,,,,,,,
29,2/4/15,37.2,37,C,2,SIAL,SIAL,3,115,2945,883.5,,,,,,,,
30,2/4/15,37.3,37,C,3,SIAL,SIAL,6,46,1178,353.4,,,,,,,,
31,2/4/15,37.4,37,C,4,DIER,SIAL,6,23,174,114.84,,,,,,,,
32,2/4/15,38.1,38,C,1,SIAL,BRMA,1,285,7299,2189.7,,,,,,,,
33,2/4/15,38.2,38,C,2,SIAL,BRMA,1,168,4302,1290.6,,,,,,,,
34,2/4/15,38.3,38,C,3,SIAL,BRMA,5,40,1024,307.2,,,,,,,,
35,2/4/15,38.4,38,C,4,SIAL,BRMA,2,321,8221,2466.3,,,,,,,,
36,2/4/15,39.1,39,C,1,SIAL,CAAR,5,55,1409,422.7,,,,,,,,
37,2/4/15,39.2,39,C,2,SIAL,CAAR,4,64,1639,491.7,,,,,,,,
38,2/4/15,39.3,39,C,3,DIER,NA,0,292,2203,1453.98,,,,,,,,
39,2/4/15,39.4,39,C,4,CAAR,CAAR,4,11,106,51.94,,,,,,,,
40,2/4/15,39.5,39,C,5,CAAR,CAAR,4,7,67,32.83,,,,,,,,
41,2/4/15,39.6,39,C,6,CAAR,CAAR,3,4,38,18.62,,,,,,,,
42,2/4/15,39.7,39,C,7,SIAL,NA,0,390,9988,2996.4,,,,,,,,
43,2/4/15,43.1,43,C,1,DIER,MEPO,1,168,1267,836.22,,,,,,,,
44,2/4/15,46.1,46,C,1,SIAL,NA,0,1391,36012,10803.6,,,,,,,,
45,2/4/15,46.2,46,C,2,CAAR,CAAR,1,16,154,75.46,,,,,,,,
46,2/4/15,46.3,46,C,3,CAAR,CAAR,1,12,115,56.35,,,,,,,,
47,2/4/15,46.4,46,C,4,CAAR,NA,0,132,1268,621.32,,,,,,,,
48,2/4/15,48.1,48,C,1,SIAL,MACA,10,115,2945,883.5,,,,,,,,
49,2/4/15,48.2,48,C,2,SIAL,MACA,14,185,4738,1421.4,,,,,,,,
50,2/4/15,52.1,52,C,1,SIAL,BRMA,9,145,3713,1113.9,,,,,,,,
51,2/4/15,52.2,52,C,2,CAAR,BRMA,12,26,250,122.5,,,,,,,,
52,2/4/15,52.3,52,C,3,SIAL,BRMA,10,170,4354,1306.2,,,,,,,,
53,2/4/15,52.4,52,C,4,SIAL,BRMA,7,60,1537,461.1,,,,,,,,
54,2/4/15,53.1,53,C,1,CAAR,MACA,1,78,749,367.01,,,,,,,,
55,2/4/15,53.2,53,C,2,SIAL,MACA,4,28,717,215.1,,,,,,,,
56,2/4/15,56.1,56,C,1,SIAL,BRMA,2,462,11832,3549.6,,,,,,,,
57,2/4/15,56.2,56,C,2,SIAL,BRMA,2,513,13138,3941.4,,,,,,,,
58,2/4/15,56.3,56,C,3,SIAL,MEPO,1,340,8707,2612.1,,,,,,,,
59,2/4/15,56.4,56,C,4,DIER,BRMA,6,90,679,448.14,,,,,,,,
60,2/4/15,59.1,59,C,1,SIAL,PARO,7,42,1076,322.8,,,,,,,,
61,2/4/15,60.1,60,C,1,DIER,BRMA,1,10,75,49.5,,,,,,,,
62,2/4/15,60.2,60,C,2,CAAR,NA,0,15,144,70.56,,,,,,,,
63,2/4/15,60.3,60,C,3,CAAR,BRMA,5,11,106,51.94,,,,,,,,
64,2/4/15,64.1,64,C,1,DIER,BRMA,4,35,264,174.24,,,,,,,,
65,2/4/15,64.2,64,C,2,SIAL,PARO,1,192,4917,1475.1,,,,,,,,
66,2/4/15,64.3,64,C,3,SIAL,BRMA,3,55,1409,422.7,,,,,,,,
67,2/5/15,65.1,65,C,1,SIAL,PARO,3,44,1127,338.1,,,,,,,,
68,2/5/15,65.2,65,C,2,CAAR,PARO,1,25,240,117.6,,,,,,,,
69,2/5/15,65.3,65,C,3,CAAR,PARO,3,11,106,51.94,,,,,,,,
70,2/5/15,68.1,68,C,1,DIER,MACA,3,147,1109,731.94,,,,,,,,
71,2/5/15,68.2,68,C,2,SIAL,MACA,7,16,410,123,,,,,,,,
72,2/5/15,68.3,68,C,3,CAAR,MACA,2,9,86,42.14,,,,,,,,
73,2/5/15,68.4,68,C,4,CAAR,MACA,6,2,19,9.31,,,,,,,,
74,2/5/15,68.5,68,C,5,SIAL,MACA,8,26,666,199.8,,,,,,,,
75,2/5/15,69.1,69,C,1,CAAR,DIER,3,23,221,108.29,,,,,,,,
76,2/5/15,69.1,69,C,10,DIER,DIER,3,27,204,134.64,,,,,,,,
77,2/5/15,69.11,69,C,11,DIER,DIER,3,38,287,189.42,,,,,,,,
78,2/5/15,69.12,69,C,12,DIER,DIER,3,140,1056,696.96,,,,,,,,
79,2/5/15,69.13,69,C,13,DIER,DIER,4,23,174,114.84,,,,,,,,
80,2/5/15,69.14,69,C,14,DIER,DIER,4,80,604,398.64,,,,,,,,
81,2/5/15,69.2,69,C,2,CAAR,DIER,2,28,269,131.81,,,,,,,,
82,2/5/15,69.3,69,C,3,SIAL,NA,0,415,10628,3188.4,,,,,,,,
83,2/5/15,69.4,69,C,4,DIER,DIER,5,13,98,64.68,,,,,,,,
84,2/5/15,69.5,69,C,5,DIER,DIER,5,24,181,119.46,,,,,,,,
85,2/5/15,69.6,69,C,6,SIAL,DIER,5,210,5378,1613.4,,,,,,,,
86,2/5/15,69.7,69,C,7,SIAL,NA,0,355,9092,2727.6,,,,,,,,
87,2/5/15,69.8,69,C,8,SIAL,DIER,1,1390,35598,10679.4,,,,,,,,
88,2/5/15,69.9,69,C,9,CAAR,DIER,4,26,250,122.5,,,,,,,,
89,2/5/15,70.1,70,C,1,CAAR,NA,0,42,403,197.47,,,,,,,,
90,2/5/15,71.1,71,C,1,CAAR,BOOF,1,63,605,296.45,,,,,,,,
91,2/5/15,71.2,71,C,2,SIAL,MEPO,1,150,3842,1152.6,,,,,,,,
92,2/5/15,72.1,72,C,1,SIAL,VISA,1,112,2868,860.4,,,,,,,,
93,2/5/15,72.2,72,C,2,CAAR,VISA,1,76,730,357.7,,,,,,,,
94,2/5/15,72.3,72,C,3,SIAL,VISA,3,94,2407,722.1,,,,,,,,
95,2/5/15,72.4,72,C,4,SIAL,VISA,1,230,5890,1767,,,,,,,,
96,2/5/15,73.1,73,C,1,CAAR,MEPO,2,82,788,386.12,,,,,,,,
97,2/5/15,73.2,73,C,2,DIER,BRMA,7,8,60,39.6,,,,,,,,
98,2/5/15,73.3,73,C,3,SIAL,BRMA,1,160,4098,1229.4,,,,,,,,
99,2/5/15,73.4,73,C,4,CAAR,BRMA,7,1,10,4.9,,,,,,,,
100,2/5/15,73.5,73,C,5,SIAL,BRMA,3,18,461,138.3,,,,,,,,
101,2/5/15,73.6,73,C,6,SIAL,BRMA,3,3,77,23.1,,,,,,,,
102,2/5/15,73.7,73,C,7,DIER,BRMA,5,19,143,94.38,,,,,,,,
103,2/5/15,73.8,73,C,8,SIAL,BRMA,4,22,563,168.9,,,,,,,,
104,2/5/15,76.1,76,C,1,DIER,DIER,1,20,151,99.66,,,,,,,,
105,2/5/15,76.2,76,C,2,DIER,DIER,1,41,309,203.94,,,,,,,,
106,2/5/15,76.3,76,C,3,SIAL,CABU,2,105,2689,806.7,,,,,,,,
107,2/5/15,76.4,76,C,4,CAAR,CABU,2,4,38,18.62,,,,,,,,
108,2/5/15,76.5,76,C,5,SIAL,CABU,2,35,896,268.8,,,,,,,,
109,2/5/15,76.6,76,C,6,CABU,CABU,5,16,122,69.54,,,,,,,,
110,2/5/15,76.7,76,C,7,CABU,CABU,1,22,168,95.76,,,,,,,,
111,2/5/15,76.8,76,C,8,DIER,CABU,12,14,106,69.96,,,,,,,,
112,2/5/15,77.1,77,C,1,SIAL,PARO,2,42,1076,322.8,,,,,,,,
113,2/5/15,77.2,77,C,2,SIAL,PARO,9,16,410,123,,,,,,,,
114,2/5/15,77.3,77,C,3,CAAR,PARO,4,8,77,37.73,,,,,,,,
115,2/5/15,78.1,78,C,1,DIER,CAAR,1,68,513,338.58,,,,,,,,
116,2/5/15,78.2,78,C,2,CAAR,CAAR,3,15,144,70.56,,,,,,,,
117,2/5/15,78.3,78,C,3,CAAR,CAAR,3,8,77,37.73,,,,,,,,
118,2/5/15,78.4,78,C,4,SIAL,CAAR,1,215,5506,1651.8,,,,,,,,
119,2/5/15,79.1,79,C,1,SIAL,MACA,22,17,435,130.5,,,,,,,,
120,2/5/15,80.1,80,C,1,CAAR,BRMA,1,48,461,225.89,,,,,,,,
121,2/5/15,80.2,80,C,2,SIAL,BRMA,3,53,1357,407.1,,,,,,,,
122,2/5/15,80.3,80,C,3,SIAL,BRMA,2,215,5506,1651.8,,,,,,,,
123,2/5/15,80.4,80,C,4,SIAL,BRMA,4,10,256,76.8,,,,,,,,
124,2/5/15,80.5,80,C,5,SIAL,BRMA,2,10,256,76.8,,,,,,,,
125,2/5/15,81.1,81,C,1,CAAR,NA,0,122,1172,574.28,,,,,,,,
126,2/5/15,81.2,81,C,2,DIER,MEPO,5,3,23,15.18,,,,,,,,
127,2/5/15,81.3,81,C,3,SIAL,MEPO,2,118,3022,906.6,,,,,,,,
128,2/5/15,81.4,81,C,4,DIER,NA,0,132,996,657.36,,,,,,,,
129,2/5/15,81.5,81,C,5,SIAL,NA,0,140,3585,1075.5,,,,,,,,
130,2/5/15,82.1,82,C,1,CAAR,MEPO,5,19,182,89.18,,,,,,,,
131,2/5/15,82.2,82,C,2,SIAL,MEPO,7,19,487,146.1,,,,,,,,
132,2/5/15,82.3,82,C,3,CAAR,MEPO,5,9,86,42.14,,,,,,,,
133,2/5/15,82.4,82,C,4,SIAL,MEPO,8,8,205,61.5,,,,,,,,
134,2/5/15,82.5,82,C,5,SIAL,MEPO,4,11,282,84.6,,,,,,,,
135,2/5/15,84.1,84,C,1,MACA,CABU,8,3,40,26,,,,,,,,
136,2/5/15,84.1,84,C,10,CABU,NA,0,10,76,43.32,,,,,,,,
137,2/5/15,84.11,84,C,11,CABU,NA,0,11,84,47.88,,,,,,,,
138,2/5/15,84.2,84,C,2,SIAL,CABU,9,82,2100,630,,,,,,,,
139,2/5/15,84.3,84,C,3,DIER,BRMA,5,4,30,19.8,,,,,,,,
140,2/5/15,84.4,84,C,4,CAAR,CABU,7,15,144,70.56,,,,,,,,
141,2/5/15,84.5,84,C,5,CABU,CABU,5,15,114,64.98,,,,,,,,
142,2/5/15,84.6,84,C,6,SIAL,CABU,6,6,154,46.2,,,,,,,,
143,2/5/15,84.7,84,C,7,CABU,BRMA,5,10,76,43.32,,,,,,,,
144,2/5/15,84.8,84,C,8,CABU,SIAL,1,22,168,95.76,,,,,,,,
145,2/5/15,84.9,84,C,9,SIAL,CABU,1,26,666,199.8,,,,,,,,
146,2/5/15,87.1,87,C,1,SIAL,MEPO,2,75,1921,576.3,,,,,,,,
147,2/5/15,87.2,87,C,2,CAAR,MEPO,1,36,346,169.54,,,,,,,,
148,2/5/15,87.3,87,C,3,CAAR,MEPO,5,2,19,9.31,,,,,3,BOOF,3.446296,
149,2/5/15,87.4,87,C,4,CAAR,MEPO,1,22,211,103.39,,,,,,,,
150,2/5/15,87.5,87,C,5,DIER,MEPO,4,5,38,25.08,,,,,,,,
