species i,species j,Mean,SE,n
1,1,3.62,0.53,7
1,2,-0.1,0.28,7
1,3,0.32,0.2,7
1,4,-0.3,0.09,7
1,5,0.18,0.18,7
1,6,0.38,0.33,7
1,7,0.51,0.22,7
2,1,1.24,0.22,7
2,2,0.2,0.18,7
2,3,0.61,0.17,7
2,4,0.25,0.09,7
2,5,0.19,0.17,7
2,6,0.2,0.11,7
2,7,0.28,0.05,7
3,1,1.46,0.7,7
3,2,0.75,0.11,7
3,3,0.54,0.27,7
3,4,0.16,0.09,7
3,5,0.31,0.12,7
3,6,0.4,0.09,7
3,7,0.24,0.08,7
4,1,5.01,0.65,7
4,2,2.47,0.79,7
4,3,0.75,0.27,7
4,4,0.47,0.09,7
4,5,1.01,0.19,7
4,6,1.19,0.22,7
4,7,0.74,0.09,7
5,1,5.99,0.35,7
5,2,2.69,0.33,7
5,3,1.09,0.21,7
5,4,0.29,0.04,7
5,5,0.67,0.23,7
5,6,1.07,0.25,7
5,7,0.48,0.03,7
6,1,10.76,0.84,7
6,2,1.27,0.28,7
6,3,0.57,0.21,7
6,4,0.53,0.12,7
6,5,1.29,0.51,7
6,6,1.12,0.32,7
6,7,0.7,0.2,7
7,1,4.01,0.3,7
7,2,0.88,0.58,7
7,3,0.33,0.13,7
7,4,1.3,0.1,7
7,5,1.21,0.2,7
7,6,0.75,0.46,7
7,7,1.27,0.1,7
