Relative Yield as mixture biomass scaled by growth in isolation,,,,,,
,Neighbor,,,,,
target,C,E,J,L,M,V
C,1,0.77,0.55,0.54,0.77,0.87
E,0.33,1,0.35,0.27,0.53,0.73
J,0.41,0.73,1,0.34,0.76,0.92
L,0.57,0.67,0.64,1,0.76,0.76
M,0.32,0.51,0.31,0.14,1,0.75
V,0.41,0.51,0.28,0.17,0.54,1
,,,,,,
,,,,,,
Wins and Losses as binary,,,,,,
1 indicates that row species outcompetes column species, 0 indicates its loss,,,,,,
,Neighbor,,,,,
target,C,E,J,L,M,V
C,,1,1,0,1,1
E,0,,0,0,1,1
J,0,1,,0,1,1
L,1,1,1,,1,1
M,0,0,0,0,,1
V,0,0,0,0,0,
