Study,Authors,Journal,Title,Habitat,Country,Latitude,Longitude,SpeciesRichness,Species,Families,WoodyHerbaceous,PlantAge,Invasive,C3C4,Nfixing,ExperimentClass,TypeOfControl,Replicates,Duration,PlantPerformanceMetric,Units,MeanPlantPerformance,SEPlantPerformance,DataSource,NetworkMonoCtrl,NetworkTrueCtrl
Lof et al. 2014,"Lof, Magnus; Bolte, Andreas; Jacobs, Douglass F.; Jensen, Anna M.",Restoration Ecology,Nurse Trees as a Forest Restoration Tool for Mixed Plantations: Effects on Competing Vegetation and Performance in Target Tree Species,Plantation forest,SWE,53.55,13.8,8,"Alnus glutinosa, Betula pendula, Larix x eurolepis, Fagus sylvatica, Tilia cordata, Quercus robur, Prunus avium, Picea abies","Betulaceae, Betulaceae, Pinaceae, Fagaceae, Malvaceae, Fagaceae, Rosaceae, Pinaceae",Woody,Both,0,0,1,Garden,True ctrl,29,120,Height,m,0.725,0.156,Figure 5,NA,"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0399,-0.1363,-0.2,NA,NA,NA,NA,NA,NA,0.0192,0.0667,NA,NA,NA,NA,NA,-0.1576,0.0715,0.0389,NA,NA,NA,NA,NA,0.0507,-0.0825,0.0333,NA,NA,NA,NA,NA,0.0471,0.0024,-0.0632,NA,NA,NA,NA,NA"
Costa et al. 2003,"Costa, C. S. B.; Marangoni, J. C.; Azevedo, A. M. G.",Journal of Ecology,Plant zonation in irregularly flooded salt marshes: relative importance of stress tolerance and biological interactions,Estuarine,BRA,-32.016,-52.1,3,"Spartina alterniflora, Spartina densiflora, Bolboschoenus maritimus","Poaceae, Poaceae, Cyperaceae",Herbaceous,Adult,0,"1, 2, 3",0,Field,True ctrl,5,12,AbovegroundBiomass,g,46.956,12.972,Figure 7d,"0, -0.1172, -0.5803, 0, 0, -0.1447, -0.012, -0.0595, 0","-0.2677, -0.3504, 0.8838, -0.3434, -0.3359, 0.0656, -0.265, -0.0164, -0.0559"
Cuda et al. 2015,"Cuda, Jan; Skalova, Hana; Janovsky, Zdenek; Pysek, Petr",Aob Plants,"Competition among native and invasive Impatiens species: the roles of environmental factors, population density and life stage",Old field,CZE,49.994,14.566,3,"Impatiens noli-tangere, Impatiens parviflora, Impatiens glandulifera","Balsaminaceae, Balsaminaceae, Balsaminaceae",Herbaceous,Juvenile,"2, 3",0,0,Garden,Mono ctrl,10,8,AbovegroundBiomass,g,4.272,1.634,Figure 2,"0,0.1718,-0.2734,-0.451,0,-0.4815,-0.1742,0.1458,0",NA
Amanullah & Stewart 2013,"Amanullah; Stewart, B. A.",Pakistan Journal of Botany,Shoot:root differs in warm season C-4-cereals when grown alone in pure and mixed stands under low and high water levels,Agricultural,USA,34.987,-101.916,3,"Zea mays, Sorghum biocolor, Setaria italica","Poaceae, Poaceae, Poaceae",Herbaceous,Juvenile,0,"1, 2, 3",0,Greenhouse,Mono ctrl,3,1,TotalBiomass,g,0.098,0.037,"Tables 3, 6, 9","0,0.0025,0.1926,0.2136,0,0.3263,-0.1848,-0.0776,0",NA
Frerot et al. 2006,"Frerot, H.; Lefebvre, C.; Gruber, W.; Collin, C.; Dos Santos, A.; Escarre, J.",Plant and Soil,Specific interactions between local metallicolous plants improve the phytostabilization of mine soils,Urban,FRA,45.64,5.56,4,"Anthyllis vulneraria, Festuca arvernensis, Koeleria vallesiana, Armeria arenaria","Fabaceae, Poaceae, Poaceae, Plumbaginaceae",Herbaceous,Juvenile,0,0,1,Garden,Mono ctrl,3,25,InflorescenceNo,count,10.491,1.884,Figure 3,"0,0.1165,0.0761,-0.6107,0.4352,0,0.3185,0.2948,-0.0619,-0.2371,0,-0.194,0.2353,0.037,0.0714,0",NA
Jiang et al. 2014,"Jiang, Lili; Lan, Zhichun; Liu, Guifeng; Kardol, Paul",Polish Journal of Ecology,Interactive effects of nitrogen and water addition on competitive hierarchies between early- and late- successional plant species,Grassland,CHN,42.45,116.68,6,"Stipa krylovii, Leymus chinensis, Artemisia lavandulaefolia, Artemisia capillaris, Artemisia frigida, Pennisetum centrasiaticum","Poaceae, Poaceae, Asteraceae, Asteraceae, Asteraceae, Poaceae",Herbaceous,Juvenile,0,6,0,Garden,Mono ctrl,7,4,TotalBiomass,g,1.792,0.24,Figure 1,"0,-0.0972,0.0558,0.2403,0.15,-0.0547,0.0515,0,0,-0.1084,0.2977,-0.15,0.2089,0.0532,0,0.1189,-0.1195,0.1835,0.2439,0.1733,-0.2917,0,0.2439,0.2955,0.0738,0.3669,-0.163,0.0383,0,0.1229,0.0598,0,-0.2362,-0.0185,0.0678,0",NA
Hendriks et al. 2015,"Hendriks, Marloes; Ravenek, Janneke M.; Smit-Tiekstra, Annemiek E.; van der Paauw, Jan Willem; de Caluwe, Hannie; van der Putten, Wim H.; de Kroon, Hans; Mommer, Liesje",New Phytologist,Spatial heterogeneity of plant-soil feedback affects root interactions and interspecific competition,Old field,NLD,51.819,5.857,4,"Anthoxanthum odoratum, Festuca rubra, Leucanthemum vulgare, Plantago lanceolata","Poaceae, Poaceae, Asteraceae, Plantaginaceae",Herbaceous,Juvenile,0,0,0,Greenhouse,Mono ctrl,6,13,BelowgroundBiomass,g,0.077,0.023,"Figure 2, 3","0,-0.7692,-0.9368,-0.9328,-0.7196,0,-0.9452,-0.9368,-0.6792,-0.5926,0,-0.8667,-0.7164,-0.6389,-0.6276,0",NA
Farrer & Goldberg 2011,"Farrer, Emily C.; Goldberg, Deborah E.",Journal of Ecology,Patterns and mechanisms of conspecific and heterospecific interactions in a dry perennial grassland,Grassland,USA,45.391,-84.595,3,"Carex pensylvanica, Danthonia spicata, Pilosella piloselloides","Cyperaceae, Poaceae, Asteraceae",Herbaceous,Adult,0,0,0,Field,True ctrl,10,15,TotalBiomass,g,0.409,0.054,Figure S3,"0,0.1136,0.0664,0.6355,0,0.5742,0.1867,0.038,0","-0.3435,-0.2392,-0.2835,-0.1166,-0.7002,-0.2107,-0.1623,-0.3047,-0.3388"
Miller & Werner 1987,"Miller, T.E.; Werner, P.A.",Ecology,Competitive effects and responses between plant-species in a 1st-year old-field community,Old field,USA,42.41,-85.4,5,"Ambrosia artemisiifolia, Elymus repens, Plantago lanceolata, Chenopodium album, Trifolium repens","Asteraceae, Poaceae, Plantaginaceae, Amaranthaceae, Fabaceae",Herbaceous,Juvenile,"2, 3",0,5,Field,Mono ctrl,5,4,TotalBiomass,g,1.8,0.346,"Figure 1, 2","0,-0.0285,0.0644,0.1121,0.0042,-0.0686,0,0.0237,0.0492,0.0977,-0.5704,-0.3361,0,-0.0048,-0.0227,-0.6837,-0.3782,-0.201,0,0.2204,-0.6708,-0.4035,-0.0818,-0.1565,0",
Engel & Weltzin 2008,"Engel, E. Cayenne; Weltzin, Jake F.",Plant Ecology,Can community composition be predicted from pairwise species interactions?,Old field,USA,25.9,-84.35,7,"Andropogon virginicus, Dactylis glomerata, Festuca pratensis, Lespedeza juncea, Plantago lanceolata, Solidago canadensis, Trifolium pratense","Poaceae, Poaceae, Poaceae, Fabaceae, Plantaginaceae, Asteraceae, Fabaceae",Herbaceous,Juvenile,6,1,"4, 7",Garden,Mono ctrl,4,6,TotalBiomass,g,12.986,1.487,Table 1,"0, 0.05, 0.3968, 0.2549, -0.0857, 0.2963, 0.2083, 0.2174, 0, -0.2, 0.0526, -0.3846, -0.125, 0, 0.1795, -0.0667, 0, -0.1034, -0.1852, 0.0303, -0.0667, -0.3333, 0.1186, -0.2093, 0, -0.2381, 0.0545, -0.0196, 0.1613, 0.2778, 0.1034, -0.04, 0, 0.1333, 0, 0, 0.1579, 0.2381, 0.3333, -0.1429, 0, 0.2, -0.2683, -0.0196, 0.4583, 0.3953, -0.2093, 0.2353, 0",NA
