"species i","species j",Parameter,Mean,SD
Cg,Cg,"alpha[1,1]",0.00151453845901,0.0008864464839
Cp,Cg,"alpha[2,1]",0.00799370010383,0.01265520277148
Lc,Cg,"alpha[3,1]",0.00057773534539,0.00026868412354
Lw,Cg,"alpha[4,1]",0.00092277641568,0.00078849735876
Mc,Cg,"alpha[5,1]",0.00169226029688,0.00359022495245
Nv,Cg,"alpha[6,1]",0.01619737867651,0.01801129778103
Pe,Cg,"alpha[7,1]",0.00040560582116,0.00021928005098
Sc,Cg,"alpha[8,1]",0.01169152680296,0.00425980018469
Tw,Cg,"alpha[9,1]",0.00022815113584,0.00027377473809
Vm,Cg,"alpha[10,1]",0.00063683039979,0.00027108756609
Cg,Cp,"alpha[1,2]",0.00804700934554,0.00433483859559
Cp,Cp,"alpha[2,2]",0.11164121361507,0.16256399684491
Lc,Cp,"alpha[3,2]",0.00208139479662,0.00064064296983
Lw,Cp,"alpha[4,2]",0.00200875335573,0.00180824627606
Mc,Cp,"alpha[5,2]",0.00101104267597,0.00127707593236
Nv,Cp,"alpha[6,2]",0.01399571466489,0.01184668126458
Pe,Cp,"alpha[7,2]",0.00084966689908,0.00034261970207
Sc,Cp,"alpha[8,2]",0.00929382787377,0.0031926346586
Tw,Cp,"alpha[9,2]",0.00041758474191,0.00034963983522
Vm,Cp,"alpha[10,2]",0.00157029534409,0.00054587219177
Cg,Lc,"alpha[1,3]",0.00473214802815,0.00227784375797
Cp,Lc,"alpha[2,3]",0.00869213648141,0.01331695366715
Lc,Lc,"alpha[3,3]",0.0039433788304,0.00084205428578
Lw,Lc,"alpha[4,3]",0.00769256102187,0.00416559809646
Mc,Lc,"alpha[5,3]",0.00239760935359,0.0024126095837
Nv,Lc,"alpha[6,3]",0.00648571108675,0.00584207819862
Pe,Lc,"alpha[7,3]",0.0004468289457,0.00017796311384
Sc,Lc,"alpha[8,3]",0.00425608308825,0.00152285813067
Tw,Lc,"alpha[9,3]",0.00091512475725,0.00059471759286
Vm,Lc,"alpha[10,3]",0.00125905178847,0.00039194143275
Cg,Lw,"alpha[1,4]",0.00093626471692,0.00127023380837
Cp,Lw,"alpha[2,4]",0.00710864427533,0.01610960732852
Lc,Lw,"alpha[3,4]",0.00067543188396,0.00067264026072
Lw,Lw,"alpha[4,4]",0.00050851308308,0.00056910346844
Mc,Lw,"alpha[5,4]",0.00029892687969,0.00057431685442
Nv,Lw,"alpha[6,4]",0.00481128367714,0.00819749679106
Pe,Lw,"alpha[7,4]",0.00050813681529,0.00054173294123
Sc,Lw,"alpha[8,4]",0.00095623855542,0.00096506242873
Tw,Lw,"alpha[9,4]",0.00017177787716,0.00058920784767
Vm,Lw,"alpha[10,4]",0.00053583471706,0.00054434595906
Cg,Mc,"alpha[1,5]",0.00052586801888,0.00079310853815
Cp,Mc,"alpha[2,5]",0.00584209308249,0.01229636569436
Lc,Mc,"alpha[3,5]",0.0002428914048,0.00023827558021
Lw,Mc,"alpha[4,5]",0.00036087926369,0.00060270324068
Mc,Mc,"alpha[5,5]",0.00011469053053,0.00020485250173
Nv,Mc,"alpha[6,5]",0.0016571988613,0.00300736082753
Pe,Mc,"alpha[7,5]",0.00030700562599,0.00033907472475
Sc,Mc,"alpha[8,5]",0.00052939819498,0.00055081938897
Tw,Mc,"alpha[9,5]",7.13558819054777E-05,0.00014684868652
Vm,Mc,"alpha[10,5]",0.0003389799761,0.00037201003251
