row col alpha observed common alphas.se$se
1 A.calendula A.calendula -0.028877909880722 TRUE TRUE 0.00661345875278459
2 H.glabra A.calendula 1.67556073478104 FALSE TRUE 0.210476171266412
3 H.glutinosum A.calendula -0.269402014496793 FALSE TRUE 0.131961765139418
4 M.minima A.calendula -0.0522596149157601 TRUE TRUE 0.0043451012708134
5 P.airoides A.calendula 6.76375093604026 TRUE TRUE 0.0654795763321339
6 P.canescens A.calendula 2.31371684392541 FALSE TRUE 0.12572422806417
7 T.cyanopetala A.calendula 5.93663899994766 FALSE TRUE 0.393977924128636
8 V.rosea A.calendula -0.0134716382325548 TRUE TRUE 0.00264733909530943
9 A.calendula H.glabra -0.00822839032837606 FALSE FALSE 0.0018542810404001
10 H.glabra H.glabra 0.222178281868221 FALSE FALSE 0.0296312562055919
11 H.glutinosum H.glabra -0.165980257293316 FALSE FALSE 0.0311574794839475
12 M.minima H.glabra -0.00724848431032284 FALSE FALSE 0.00115728769099027
13 P.airoides H.glabra 0.355385438499727 TRUE FALSE 0.0385366884044066
14 P.canescens H.glabra 0.0844956617630525 FALSE FALSE 0.0220284268968994
15 T.cyanopetala H.glabra -0.0987146704709422 FALSE FALSE 0.0664440455974715
16 V.rosea H.glabra -2.84422656358834e-05 FALSE FALSE 0.000624086165786969
17 A.calendula H.glutinosum -0.000205333011068819 TRUE TRUE 0.00034472474085985
18 H.glabra H.glutinosum 0.087722426437003 TRUE TRUE 0.0119009701737516
19 H.glutinosum H.glutinosum 0.0342313030015935 TRUE TRUE 0.00125617936969238
20 M.minima H.glutinosum -0.00231040230624745 TRUE TRUE 0.000230108913321318
21 P.airoides H.glutinosum 0.360848763842805 TRUE TRUE 0.0130388055816727
22 P.canescens H.glutinosum 0.155195052601138 TRUE TRUE 0.00595759382354826
23 T.cyanopetala H.glutinosum 0.356737545519517 TRUE TRUE 0.0195908045479025
24 V.rosea H.glutinosum -0.00113143202148067 TRUE TRUE 6.93833992947371e-05
25 A.calendula M.minima -0.00286423696874015 TRUE TRUE 0.00216127735274191
26 H.glabra M.minima -3.05349510608297 FALSE TRUE 0.993891169768115
27 H.glutinosum M.minima 1.3983138864896 FALSE TRUE 0.462446537895742
28 M.minima M.minima 0.0226609674563696 TRUE TRUE 0.00295740369536343
29 P.airoides M.minima -3.45981263595782 FALSE TRUE 0.871362765307111
30 P.canescens M.minima -0.370806387758371 TRUE TRUE 0.00484917626767465
31 T.cyanopetala M.minima -0.145566585013612 TRUE TRUE 0.0952210395613203
32 V.rosea M.minima 0.012030495782884 TRUE TRUE 0.00295581053287604
33 A.calendula P.airoides -0.00331548467706626 TRUE TRUE 0.00204111804019816
34 H.glabra P.airoides 0.0783557497770885 TRUE TRUE 0.0139560601173514
35 H.glutinosum P.airoides -0.143598042494197 TRUE TRUE 0.0231060896791777
36 M.minima P.airoides -0.00342750680264776 TRUE TRUE 0.000774605496270899
37 P.airoides P.airoides 0.292845955213818 TRUE TRUE 0.0241621122156217
38 P.canescens P.airoides 0.0294807112725463 TRUE TRUE 0.0122696674448871
39 T.cyanopetala P.airoides 0.0515623470379834 TRUE TRUE 0.0516289868185557
40 V.rosea P.airoides 0.00055663226115916 TRUE TRUE 0.000491062707217674
41 A.calendula P.canescens -0.0023606438431099 TRUE FALSE 0.00075328819326908
42 H.glabra P.canescens -0.861929351911596 FALSE FALSE 0.366354014403736
43 H.glutinosum P.canescens 0.244457642310573 FALSE FALSE 0.10463584945837
44 M.minima P.canescens 0.00846676720238018 FALSE FALSE 0.00083164627649046
45 P.airoides P.canescens -1.30583016535661 FALSE FALSE 0.303477477509215
46 P.canescens P.canescens -0.251925536161522 TRUE FALSE 0.00589382809845654
47 T.cyanopetala P.canescens -0.389702319352935 FALSE FALSE 0.0547524107945018
48 V.rosea P.canescens 0.00424167013636 FALSE FALSE 0.000767877812959814
49 A.calendula T.cyanopetala 0.00266785538290269 TRUE TRUE 0.000707633610212467
50 H.glabra T.cyanopetala 0.0811045272782389 TRUE TRUE 0.00871826044203803
51 H.glutinosum T.cyanopetala 0.0760308041113257 TRUE TRUE 0.017744443149287
52 M.minima T.cyanopetala -0.00403821336222479 TRUE TRUE 0.000772755583893066
53 P.airoides T.cyanopetala 0.557185458320744 TRUE TRUE 0.0519960810430532
54 P.canescens T.cyanopetala 0.181203632098147 TRUE TRUE 0.0214656119193117
55 T.cyanopetala T.cyanopetala 1.02824356649662 TRUE TRUE 0.0394150780780626
56 V.rosea T.cyanopetala -0.00192232235839234 FALSE TRUE 0.000448219196202741
57 A.calendula V.rosea 0.309265389365639 TRUE TRUE 0.0121108022877426
58 H.glabra V.rosea 0.196094959778926 TRUE TRUE 0.00914960019951816
59 H.glutinosum V.rosea 4.43204390808317 TRUE TRUE 0.178935761542267
60 M.minima V.rosea -0.573510679098112 FALSE TRUE 0.103760150607885
61 P.airoides V.rosea 49.4978184187256 FALSE TRUE 2.86863386530481
62 P.canescens V.rosea 17.4174409790372 TRUE TRUE 0.765337579747163
63 T.cyanopetala V.rosea 32.9412937649175 FALSE TRUE 6.33883796169222
64 V.rosea V.rosea -0.15332318934223 TRUE TRUE 0.00664852803111755
65 A.calendula Other 0.00237504489438657 TRUE TRUE 0.00018472203633965
66 H.glabra Other 0.00379241873256814 TRUE TRUE 0.000929316589602803
67 H.glutinosum Other 0.0434094917204005 TRUE TRUE 0.00513342783889164
68 M.minima Other -0.000356662579629841 TRUE TRUE 0.000342188583567945
69 P.airoides Other 0.30888118620985 TRUE TRUE 0.0200615736073073
70 P.canescens Other 0.112568093637658 TRUE TRUE 0.00746331343665519
71 T.cyanopetala Other 0.443897879565705 TRUE TRUE 0.0202293688714161
72 V.rosea Other -0.000773376196868443 TRUE TRUE 0.000117947313317218
