row col alpha alphas.se$se
1 A.calendula A.calendula -0.292325039940198 NA
2 H.glabra A.calendula NA NA
3 H.glutinosum A.calendula NA NA
4 M.minima A.calendula 2.41139836573363 NA
5 P.airoides A.calendula 6.59180484575184 NA
6 P.canescens A.calendula NA NA
7 T.cyanopetala A.calendula NA NA
8 V.rosea A.calendula -0.106994959492702 NA
9 A.calendula H.glabra NA NA
10 H.glabra H.glabra NA NA
11 H.glutinosum H.glabra NA NA
12 M.minima H.glabra NA NA
13 P.airoides H.glabra -0.54725234249526 NA
14 P.canescens H.glabra NA NA
15 T.cyanopetala H.glabra NA NA
16 V.rosea H.glabra NA NA
17 A.calendula H.glutinosum 0.517544990806835 NA
18 H.glabra H.glutinosum 0.413291270026824 NA
19 H.glutinosum H.glutinosum 0.0205807406693432 NA
20 M.minima H.glutinosum -1.06664574079322 NA
21 P.airoides H.glutinosum 0.313616688548406 NA
22 P.canescens H.glutinosum 1.91010269348569 NA
23 T.cyanopetala H.glutinosum 0.457279783509093 NA
24 V.rosea H.glutinosum -0.321189282409239 NA
25 A.calendula M.minima -0.178807395941801 NA
26 H.glabra M.minima NA NA
27 H.glutinosum M.minima NA NA
28 M.minima M.minima 0.147539214815048 NA
29 P.airoides M.minima NA NA
30 P.canescens M.minima -0.562323007370923 NA
31 T.cyanopetala M.minima 0.828225687367485 NA
32 V.rosea M.minima 0.0204791978687055 NA
33 A.calendula P.airoides NA NA
34 H.glabra P.airoides 0.391903454507102 NA
35 H.glutinosum P.airoides -1.15312584416945 NA
36 M.minima P.airoides -0.414809610394837 NA
37 P.airoides P.airoides 0.816278357697282 NA
38 P.canescens P.airoides 2.23447495676496 NA
39 T.cyanopetala P.airoides -2.39923913971385 NA
40 V.rosea P.airoides 0.389361937915835 NA
41 A.calendula P.canescens 0.1669152571385 NA
42 H.glabra P.canescens NA NA
43 H.glutinosum P.canescens NA NA
44 M.minima P.canescens NA NA
45 P.airoides P.canescens NA NA
46 P.canescens P.canescens 2.3953252469377 NA
47 T.cyanopetala P.canescens NA NA
48 V.rosea P.canescens NA NA
49 A.calendula T.cyanopetala 0.108473700538888 NA
50 H.glabra T.cyanopetala 0.460896355446987 NA
51 H.glutinosum T.cyanopetala 0.0810386009997564 NA
52 M.minima T.cyanopetala -0.151425395232584 NA
53 P.airoides T.cyanopetala -1.94880497222092 NA
54 P.canescens T.cyanopetala NA NA
55 T.cyanopetala T.cyanopetala 1.45218303288302 NA
56 V.rosea T.cyanopetala NA NA
57 A.calendula V.rosea NA NA
58 H.glabra V.rosea 0.327202380495088 NA
59 H.glutinosum V.rosea 4.80532791035533 NA
60 M.minima V.rosea NA NA
61 P.airoides V.rosea NA NA
62 P.canescens V.rosea 26.2994916193961 NA
63 T.cyanopetala V.rosea NA NA
64 V.rosea V.rosea -0.226138247800597 NA
65 A.calendula Other 0.115436019550364 NA
66 H.glabra Other -0.0218830332445268 NA
67 H.glutinosum Other 0.18216940814392 NA
68 M.minima Other 0.506332491692697 NA
69 P.airoides Other 0.822958306510315 NA
70 P.canescens Other -2.55989292431592 NA
71 T.cyanopetala Other 1.00711419508589 NA
72 V.rosea Other 0.0178840339137794 NA
