"dimensions" "deviance" "logLik" "AIC" "weight.1" "weight.2" "weight.3" "weight.4" "weight.5" "weight.6" "weight.7" "weight.8" "dimselect" "var.exp.1" "var.exp.2" "var.exp.3" "var.exp.4" "var.exp.5" "var.exp.6" "var.exp.7" "var.exp.8"
"Open.optim.D1.r1.Rdata" 1 34578.3209916731 17831.2684387535 35710.5368775069 102.061327724172 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.73323452133367e-36 4.73323452133367e-36 4.73323452133367e-36 4.73323452133367e-36 4.73323452133367e-36 4.73323452133367e-36 4.73323452133367e-36
"Open.optim.D1.r10.Rdata" 1 34578.3198805263 17831.2678831801 35710.5357663602 101.716842144381 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.76534900843119e-36 4.76534900843119e-36 4.76534900843119e-36 4.76534900843119e-36 4.76534900843119e-36 4.76534900843119e-36 4.76534900843119e-36
"Open.optim.D1.r11.Rdata" 1 34578.3209795947 17831.2684327143 35710.5368654285 102.053393452388 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.73397053270398e-36 4.73397053270398e-36 4.73397053270398e-36 4.73397053270398e-36 4.73397053270398e-36 4.73397053270398e-36 4.73397053270398e-36
"Open.optim.D1.r12.Rdata" 1 34578.3209282419 17831.2684070379 35710.5368140758 102.049939222856 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.73429101300397e-36 4.73429101300397e-36 4.73429101300397e-36 4.73429101300397e-36 4.73429101300397e-36 4.73429101300397e-36 4.73429101300397e-36
"Open.optim.D1.r13.Rdata" 1 34578.320916496 17831.268401165 35710.5368023299 102.04619282277 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.73463863741495e-36 4.73463863741495e-36 4.73463863741495e-36 4.73463863741495e-36 4.73463863741495e-36 4.73463863741495e-36 4.73463863741495e-36
"Open.optim.D1.r14.Rdata" 1 34578.3208514866 17831.2683686602 35710.5367373204 102.036565397913 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.7355321313882e-36 4.7355321313882e-36 4.7355321313882e-36 4.7355321313882e-36 4.7355321313882e-36 4.7355321313882e-36 4.7355321313882e-36
"Open.optim.D1.r15.Rdata" 1 34578.3209675021 17831.268426668 35710.536853336 102.052765909655 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.7340287531337e-36 4.7340287531337e-36 4.7340287531337e-36 4.7340287531337e-36 4.7340287531337e-36 4.7340287531337e-36 4.7340287531337e-36
"Open.optim.D1.r16.Rdata" 1 34578.3198624135 17831.2678741237 35710.5357482473 101.708975391047 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.76608619558337e-36 4.76608619558337e-36 4.76608619558337e-36 4.76608619558337e-36 4.76608619558337e-36 4.76608619558337e-36 4.76608619558337e-36
"Open.optim.D1.r17.Rdata" 1 34578.3208198541 17831.268352844 35710.536705688 101.978977487559 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.74088198694846e-36 4.74088198694846e-36 4.74088198694846e-36 4.74088198694846e-36 4.74088198694846e-36 4.74088198694846e-36 4.74088198694846e-36
"Open.optim.D1.r18.Rdata" 1 34578.3208849525 17831.2683853932 35710.5367707863 102.043598647013 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.73487937061247e-36 4.73487937061247e-36 4.73487937061247e-36 4.73487937061247e-36 4.73487937061247e-36 4.73487937061247e-36 4.73487937061247e-36
"Open.optim.D1.r19.Rdata" 1 34578.3209336807 17831.2684097573 35710.5368195145 102.055263927554 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.73379700528696e-36 4.73379700528696e-36 4.73379700528696e-36 4.73379700528696e-36 4.73379700528696e-36 4.73379700528696e-36 4.73379700528696e-36
"Open.optim.D1.r2.Rdata" 1 34578.3200581689 17831.2679720014 35710.5359440028 101.639835229966 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.77257262970041e-36 4.77257262970041e-36 4.77257262970041e-36 4.77257262970041e-36 4.77257262970041e-36 4.77257262970041e-36 4.77257262970041e-36
"Open.optim.D1.r20.Rdata" 1 34578.3204248485 17831.2681553412 35710.5363106824 101.926012494609 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.7458103858149e-36 4.7458103858149e-36 4.7458103858149e-36 4.7458103858149e-36 4.7458103858149e-36 4.7458103858149e-36 4.7458103858149e-36
"Open.optim.D1.r21.Rdata" 1 34578.3203837433 17831.2681347886 35710.5362695772 101.815937671486 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.75607747434911e-36 4.75607747434911e-36 4.75607747434911e-36 4.75607747434911e-36 4.75607747434911e-36 4.75607747434911e-36 4.75607747434911e-36
"Open.optim.D1.r22.Rdata" 1 34578.3209623451 17831.2684240895 35710.536848179 102.043379936124 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.73489966728997e-36 4.73489966728997e-36 4.73489966728997e-36 4.73489966728997e-36 4.73489966728997e-36 4.73489966728997e-36 4.73489966728997e-36
"Open.optim.D1.r23.Rdata" 1 34578.3206337382 17831.268259786 35710.5365195721 101.986729323814 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.74016132173179e-36 4.74016132173179e-36 4.74016132173179e-36 4.74016132173179e-36 4.74016132173179e-36 4.74016132173179e-36 4.74016132173179e-36
"Open.optim.D1.r24.Rdata" 1 34578.3197889007 17831.2678373673 35710.5356747345 101.659350378811 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.77074046128159e-36 4.77074046128159e-36 4.77074046128159e-36 4.77074046128159e-36 4.77074046128159e-36 4.77074046128159e-36 4.77074046128159e-36
"Open.optim.D1.r25.Rdata" 1 34578.3205701257 17831.2682279798 35710.5364559596 101.962205620228 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.74244178026323e-36 4.74244178026323e-36 4.74244178026323e-36 4.74244178026323e-36 4.74244178026323e-36 4.74244178026323e-36 4.74244178026323e-36
"Open.optim.D1.r26.Rdata" 1 34578.320311205 17831.2680985194 35710.5361970389 101.923942209775 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.74600318210669e-36 4.74600318210669e-36 4.74600318210669e-36 4.74600318210669e-36 4.74600318210669e-36 4.74600318210669e-36 4.74600318210669e-36
"Open.optim.D1.r27.Rdata" 1 34578.3197899944 17831.2678379141 35710.5356758282 101.752367979888 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.76202204012815e-36 4.76202204012815e-36 4.76202204012815e-36 4.76202204012815e-36 4.76202204012815e-36 4.76202204012815e-36 4.76202204012815e-36
