row col alpha alphas.se$se
1 A.calendula A.calendula 0.474215971395799 NA
2 H.glabra A.calendula -0.665683208863973 NA
3 H.glutinosum A.calendula NA NA
4 M.minima A.calendula NA NA
5 P.airoides A.calendula NA NA
6 P.canescens A.calendula 31.3141776218652 NA
7 T.cyanopetala A.calendula NA NA
8 V.rosea A.calendula NA NA
9 A.calendula H.glabra NA NA
10 H.glabra H.glabra NA NA
11 H.glutinosum H.glabra NA NA
12 M.minima H.glabra NA NA
13 P.airoides H.glabra NA NA
14 P.canescens H.glabra NA NA
15 T.cyanopetala H.glabra NA NA
16 V.rosea H.glabra NA NA
17 A.calendula H.glutinosum -0.10914372786698 NA
18 H.glabra H.glutinosum 0.236980512777958 NA
19 H.glutinosum H.glutinosum 1.18809186006702 NA
20 M.minima H.glutinosum 1.4 NA
21 P.airoides H.glutinosum -0.0995145450454332 NA
22 P.canescens H.glutinosum -0.114604332337929 NA
23 T.cyanopetala H.glutinosum 0.205619455118646 NA
24 V.rosea H.glutinosum 0.200159226496045 NA
25 A.calendula M.minima 0.191232567549125 NA
26 H.glabra M.minima NA NA
27 H.glutinosum M.minima NA NA
28 M.minima M.minima 1.6 NA
29 P.airoides M.minima NA NA
30 P.canescens M.minima NA NA
31 T.cyanopetala M.minima NA NA
32 V.rosea M.minima NA NA
33 A.calendula P.airoides 0.136301431043209 NA
34 H.glabra P.airoides 0.0796128413640105 NA
35 H.glutinosum P.airoides 1.19857262838218 NA
36 M.minima P.airoides -3.46666666666666 NA
37 P.airoides P.airoides 0.241636360282339 NA
38 P.canescens P.airoides -0.220433047526978 NA
39 T.cyanopetala P.airoides 0.262593021007375 NA
40 V.rosea P.airoides -1.01492972572546 NA
41 A.calendula P.canescens NA NA
42 H.glabra P.canescens 1.97330685650776 NA
43 H.glutinosum P.canescens -3.52925563860552 NA
44 M.minima P.canescens 1.12380952380953 NA
45 P.airoides P.canescens 0.524204671338851 NA
46 P.canescens P.canescens NA NA
47 T.cyanopetala P.canescens 2.70020656263445 NA
48 V.rosea P.canescens NA NA
49 A.calendula T.cyanopetala -0.348061144236225 NA
50 H.glabra T.cyanopetala 0.11273620453352 NA
51 H.glutinosum T.cyanopetala -3.34154568237935 NA
52 M.minima T.cyanopetala -0.716027874564459 NA
53 P.airoides T.cyanopetala NA NA
54 P.canescens T.cyanopetala NA NA
55 T.cyanopetala T.cyanopetala 0.137044007734199 NA
56 V.rosea T.cyanopetala NA NA
57 A.calendula V.rosea NA NA
58 H.glabra V.rosea NA NA
59 H.glutinosum V.rosea NA NA
60 M.minima V.rosea NA NA
61 P.airoides V.rosea NA NA
62 P.canescens V.rosea NA NA
63 T.cyanopetala V.rosea -1.17294813987076 NA
64 V.rosea V.rosea 0.472484080991902 NA
65 A.calendula Other -0.262534297447625 NA
66 H.glabra Other -0.406972370222656 NA
67 H.glutinosum Other 0.222315918480934 NA
68 M.minima Other -0.157142857142858 NA
69 P.airoides Other 0.10007629237685 NA
70 P.canescens Other 0.110438738732618 NA
71 T.cyanopetala Other 1.1024200788845 NA
72 V.rosea Other 0.729506340042545 NA
