"dimensions" "deviance" "logLik" "AIC" "weight.1" "weight.2" "weight.3" "weight.4" "weight.5" "weight.6" "weight.7" "weight.8" "dimselect" "var.exp.1" "var.exp.2" "var.exp.3" "var.exp.4" "var.exp.5" "var.exp.6" "var.exp.7" "var.exp.8"
"Shade.optim.D1.r1.Rdata" 1 30598.6949535165 15824.8934202356 31697.7868404711 627.980077435585 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.25022655422645e-37 1.25022655422645e-37 1.25022655422645e-37 1.25022655422645e-37 1.25022655422645e-37 1.25022655422645e-37 1.25022655422645e-37
"Shade.optim.D1.r10.Rdata" 1 30260.2320752817 15655.6619811181 31359.3239622363 5.45730695903016 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.65547903868986e-33 1.65547903868986e-33 1.65547903868986e-33 1.65547903868986e-33 1.65547903868986e-33 1.65547903868986e-33 1.65547903868986e-33
"Shade.optim.D1.r11.Rdata" 1 30598.0134474114 15824.552667183 31697.105334366 764.206615956241 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 8.44226274870909e-38 8.44226274870909e-38 8.44226274870909e-38 8.44226274870909e-38 8.44226274870909e-38 8.44226274870909e-38 8.44226274870909e-38
"Shade.optim.D1.r12.Rdata" 1 30598.9159986533 15825.0039428039 31698.0078856079 617.025745384651 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.29501226097472e-37 1.29501226097472e-37 1.29501226097472e-37 1.29501226097472e-37 1.29501226097472e-37 1.29501226097472e-37 1.29501226097472e-37
"Shade.optim.D1.r13.Rdata" 1 30613.9579921065 15832.5249395306 31713.0498790612 200.394518765706 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.22774669597926e-36 1.22774669597926e-36 1.22774669597926e-36 1.22774669597926e-36 1.22774669597926e-36 1.22774669597926e-36 1.22774669597926e-36
"Shade.optim.D1.r14.Rdata" 1 30597.8031203247 15824.4475036397 31696.8950072793 669.833453504052 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.09887118043372e-37 1.09887118043372e-37 1.09887118043372e-37 1.09887118043372e-37 1.09887118043372e-37 1.09887118043372e-37 1.09887118043372e-37
"Shade.optim.D1.r15.Rdata" 1 30597.2061662931 15824.1490266239 31696.2980532477 706.797879612272 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.8693823663448e-38 9.8693823663448e-38 9.8693823663448e-38 9.8693823663448e-38 9.8693823663448e-38 9.8693823663448e-38 9.8693823663448e-38
"Shade.optim.D1.r16.Rdata" 1 30597.7987186097 15824.4453027821 31696.8906055643 775.575050240152 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 8.19658206885786e-38 8.19658206885786e-38 8.19658206885786e-38 8.19658206885786e-38 8.19658206885786e-38 8.19658206885786e-38 8.19658206885786e-38
"Shade.optim.D1.r17.Rdata" 1 30613.1057346294 15832.098810792 31712.197621584 197.147493807143 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.26852178443212e-36 1.26852178443212e-36 1.26852178443212e-36 1.26852178443212e-36 1.26852178443212e-36 1.26852178443212e-36 1.26852178443212e-36
"Shade.optim.D1.r18.Rdata" 1 30592.9168364304 15822.0043616925 31692.008723385 1265.57125644407 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 3.07827379850574e-38 3.07827379850574e-38 3.07827379850574e-38 3.07827379850574e-38 3.07827379850574e-38 3.07827379850574e-38 3.07827379850574e-38
"Shade.optim.D1.r19.Rdata" 1 30608.064721748 15829.5783043513 31707.1566087026 221.538517361498 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.00457406349438e-36 1.00457406349438e-36 1.00457406349438e-36 1.00457406349438e-36 1.00457406349438e-36 1.00457406349438e-36 1.00457406349438e-36
"Shade.optim.D1.r2.Rdata" 1 30599.4450425926 15825.2684647736 31698.5369295473 619.570697665495 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.28439531085096e-37 1.28439531085096e-37 1.28439531085096e-37 1.28439531085096e-37 1.28439531085096e-37 1.28439531085096e-37 1.28439531085096e-37
"Shade.optim.D1.r20.Rdata" 1 30598.3059967503 15824.6989418525 31697.3978837049 676.606990136773 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.07697963331068e-37 1.07697963331068e-37 1.07697963331068e-37 1.07697963331068e-37 1.07697963331068e-37 1.07697963331068e-37 1.07697963331068e-37
"Shade.optim.D1.r21.Rdata" 1 30599.2204610762 15825.1561740154 31698.3123480309 574.929385988403 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.49159677913837e-37 1.49159677913837e-37 1.49159677913837e-37 1.49159677913837e-37 1.49159677913837e-37 1.49159677913837e-37 1.49159677913837e-37
"Shade.optim.D1.r22.Rdata" 1 30598.0242685264 15824.5580777405 31697.1161554811 675.543704450555 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.08037256918351e-37 1.08037256918351e-37 1.08037256918351e-37 1.08037256918351e-37 1.08037256918351e-37 1.08037256918351e-37 1.08037256918351e-37
"Shade.optim.D1.r23.Rdata" 1 30596.2049139455 15823.6484004501 31695.2968009001 849.47706020484 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 6.83246066529093e-38 6.83246066529093e-38 6.83246066529093e-38 6.83246066529093e-38 6.83246066529093e-38 6.83246066529093e-38 6.83246066529093e-38
"Shade.optim.D1.r24.Rdata" 1 30593.1555291276 15822.1237080411 31692.2474160823 1383.11010680489 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.57731167593862e-38 2.57731167593862e-38 2.57731167593862e-38 2.57731167593862e-38 2.57731167593862e-38 2.57731167593862e-38 2.57731167593862e-38
"Shade.optim.D1.r25.Rdata" 1 30597.8078044144 15824.4498456845 31696.899691369 802.604735638483 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 7.65379833629934e-38 7.65379833629934e-38 7.65379833629934e-38 7.65379833629934e-38 7.65379833629934e-38 7.65379833629934e-38 7.65379833629934e-38
"Shade.optim.D1.r26.Rdata" 1 30615.0741626035 15833.0830247791 31714.1660495581 174.242045618641 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.62395701184246e-36 1.62395701184246e-36 1.62395701184246e-36 1.62395701184246e-36 1.62395701184246e-36 1.62395701184246e-36 1.62395701184246e-36
"Shade.optim.D1.r27.Rdata" 1 30597.0487987234 15824.070342839 31696.1406856781 855.967537339478 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 6.72923759055329e-38 6.72923759055329e-38 6.72923759055329e-38 6.72923759055329e-38 6.72923759055329e-38 6.72923759055329e-38 6.72923759055329e-38
"Shade.optim.D1.r28.Rdata" 1 30619.015768048 15835.0538275013 31718.1076550026 184.846254147464 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.44297611561702e-36 1.44297611561702e-36 1.44297611561702e-36 1.44297611561702e-36 1.44297611561702e-36 1.44297611561702e-36 1.44297611561702e-36
