row col alpha observed common alphas.se$se
1 A.calendula A.calendula 0.0373298928974193 TRUE TRUE 0.00720520562773407
2 H.glabra A.calendula 1.33734905778208 FALSE TRUE 0.48134086167728
3 H.glutinosum A.calendula 2.03383800663482 FALSE TRUE 0.163388760994757
4 M.minima A.calendula -0.0520763775292143 TRUE TRUE 0.00393517258554765
5 P.airoides A.calendula 3.38585028342087 TRUE TRUE 0.11035176662399
6 P.canescens A.calendula 25.0901873737976 FALSE TRUE 2.24899355559493
7 T.cyanopetala A.calendula 3.9249039272342 FALSE TRUE 0.182102333161231
8 V.rosea A.calendula -0.222405723731529 TRUE TRUE 0.0116359186893138
9 A.calendula B.semibarbata 0.0578760398167516 FALSE TRUE 0.213327805823088
10 H.glabra B.semibarbata -0.379361825574817 TRUE TRUE 0.0132359163175208
11 H.glutinosum B.semibarbata -2.0437635194615 FALSE TRUE 0.842226449603939
12 M.minima B.semibarbata 0.100392666634145 TRUE TRUE 0.00984489585819789
13 P.airoides B.semibarbata -2.16486343474436 TRUE TRUE 0.474528733080941
14 P.canescens B.semibarbata -19.2056850275319 FALSE TRUE 2.0620760983336
15 T.cyanopetala B.semibarbata -4.52451229287864 FALSE TRUE 0.24544588042313
16 V.rosea B.semibarbata 0.184545037436872 FALSE TRUE 0.0575823429495802
17 A.calendula C.colorata 0.0190317633321365 FALSE TRUE 0.00219310583499637
18 H.glabra C.colorata 0.0856128761714364 FALSE TRUE 0.0111596718058094
19 H.glutinosum C.colorata 0.51683639082978 TRUE TRUE 0.0238976772657912
20 M.minima C.colorata -0.0183913809892425 TRUE TRUE 0.00210942802334239
21 P.airoides C.colorata 0.664896412721246 FALSE TRUE 0.065085443813155
22 P.canescens C.colorata 5.71960265667718 TRUE TRUE 0.357970821943897
23 T.cyanopetala C.colorata 1.37767772362475 TRUE TRUE 0.0666871289697746
24 V.rosea C.colorata -0.0652318358148494 TRUE TRUE 0.00473443863764871
25 A.calendula C.eremea 0.0781965280585105 TRUE TRUE 0.0115470795181476
26 H.glabra C.eremea 0.0198841520628313 TRUE TRUE 0.0126794228929816
27 H.glutinosum C.eremea 0.252537819941661 TRUE TRUE 0.145668152227895
28 M.minima C.eremea -0.015333735977612 TRUE TRUE 0.00215262560963145
29 P.airoides C.eremea 0.648530955735599 TRUE TRUE 0.399780025267269
30 P.canescens C.eremea 5.36786766803765 FALSE TRUE 1.77499074224889
31 T.cyanopetala C.eremea 0.630481512462231 FALSE TRUE 0.0754958514569025
32 V.rosea C.eremea -0.0689131133380414 FALSE TRUE 0.0586451050489972
33 A.calendula C.hispidula -0.355393140318987 FALSE FALSE 0.446096763970427
34 H.glabra C.hispidula 0.522496108040436 TRUE FALSE 0.0417001550819492
35 H.glutinosum C.hispidula 3.30166898655072 FALSE FALSE 1.53208394699395
36 M.minima C.hispidula -0.108266850216639 FALSE FALSE 0.0172565989819072
37 P.airoides C.hispidula 3.18815273974637 TRUE FALSE 0.171063314970784
38 P.canescens C.hispidula 22.228170264799 FALSE FALSE 1.00583346758378
39 T.cyanopetala C.hispidula 5.49936311546829 FALSE FALSE 0.257279348141628
40 V.rosea C.hispidula -0.227600112049289 FALSE FALSE 0.0142361382222579
41 A.calendula C.pseudevax 0.128602996591256 FALSE FALSE 0.0602611984871394
42 H.glabra C.pseudevax 2.33344119465842 FALSE FALSE 0.4364444734009
43 H.glutinosum C.pseudevax 8.4409529746313 TRUE FALSE 0.591367213591664
44 M.minima C.pseudevax -0.267813108371039 FALSE FALSE 0.0523092912734207
45 P.airoides C.pseudevax 12.7667257288024 FALSE FALSE 0.904728860570364
46 P.canescens C.pseudevax 74.1921963442694 FALSE FALSE 3.42220498582717
47 T.cyanopetala C.pseudevax 15.9546287446568 FALSE FALSE 0.87899705955345
48 V.rosea C.pseudevax -0.640621307565363 FALSE FALSE 0.0696425970843289
