V1 V2
A.calendula -0.158745617277585 0.0083118197509618
B.semibarbata 0.162275729466945 0.0123504215426897
C.colorata -0.0381194936699872 0.00469009414523978
C.eremea -0.0369353281604959 0.00935868138377515
C.hispidula -0.171976275514982 0.00900347217748517
C.pseudevax -0.562315030142044 0.0274931670845283
Cheilanthes.sp -0.103863191607437 0.0156429488326119
D.glochidiatus 0.0911750016869942 0.00748852960733085
D.macrantha -0.065022094783485 0.00389989000418006
Erodium.cygnorum 0.0567478641357899 0.00759391434434272
G.berardiana -0.04658441771397 0.00320477746862533
G.tenuifolia -0.000432079802947833 0.00416830753569815
H.glabra -0.160653787130131 0.00929038147742956
H.glutinosum -0.00798055887405557 0.00171142874651667
M.minima 0.00269056653401911 0.00130556106367326
M.polymorpha 0.0822595316279616 0.00372894563458548
N.rotundifolia -0.0224613658529371 0.00597413482356501
P.airoides -0.0341741440612247 0.00260895444693537
P.canescens 0.0161984924912607 0.00100535512699195
P.debilis 0.0621055658306187 0.00557034568385825
P.gaudichaudii 0.143315088074769 0.00619606887141454
P.lessonni 0.0419979246469983 0.00236117822473117
P.muelleriana -0.0128027993502709 0.000563468337288799
S.cassiniana -0.0300654672399231 0.00532357247493021
S.lineare -0.0154618655234129 0.00106285252110601
T.cyanopetala -0.0514982223593587 0.004304047239161
V.rosea -0.174709651373545 0.00668952145503482
W.acuminata 0.0645550212166042 0.00296326093502464
