row col alpha observed common alphas.se$se
1 A.calendula A.calendula 0.513984806080754 TRUE TRUE 0.0180575067858325
2 H.glabra A.calendula 0.713814158079484 TRUE TRUE 0.0152534402569927
3 H.glutinosum A.calendula -361.214545231878 FALSE TRUE 16.8860604724113
4 M.minima A.calendula -595.621984581226 FALSE TRUE 41.7241922902694
5 P.airoides A.calendula -42.2360771787702 FALSE TRUE 1.67668049332169
6 P.canescens A.calendula 26.2996049364286 TRUE TRUE 1.14810660451566
7 T.cyanopetala A.calendula -242.784692844196 FALSE TRUE 14.3076752037198
8 V.rosea A.calendula -29.6895743588144 FALSE TRUE 2.13855295791941
9 A.calendula C.colorata -0.00855191695274237 TRUE TRUE 0.0059141719395511
10 H.glabra C.colorata 0.00809136339646127 TRUE TRUE 0.0044122474252311
11 H.glutinosum C.colorata 0.0305540230519385 TRUE TRUE 0.0111519850266112
12 M.minima C.colorata -0.0765773703681848 FALSE TRUE 0.291410796097835
13 P.airoides C.colorata 0.0965043719249869 TRUE TRUE 0.0236775482229211
14 P.canescens C.colorata -0.384992671691458 FALSE TRUE 0.532699275860795
15 T.cyanopetala C.colorata 0.359070845915664 FALSE TRUE 0.270891160761582
16 V.rosea C.colorata 0.00467792185105418 TRUE TRUE 0.0013085989328803
17 A.calendula C.eremea -0.0478604172381086 TRUE TRUE 0.01062214411335
18 H.glabra C.eremea 0.0339405999279664 FALSE TRUE 0.028020137884146
19 H.glutinosum C.eremea -0.899568328701329 FALSE TRUE 0.175962193919252
20 M.minima C.eremea -2.46895609069485 FALSE TRUE 0.402174212837554
21 P.airoides C.eremea -0.0548615030046467 TRUE TRUE 0.032996142509375
22 P.canescens C.eremea -0.607385809414119 TRUE TRUE 0.325572675704312
23 T.cyanopetala C.eremea -0.995602633545231 FALSE TRUE 0.274462973182996
24 V.rosea C.eremea -0.120390626889252 FALSE TRUE 0.0183338155688151
25 A.calendula C.hispidula 0.000531752309192118 FALSE FALSE 0.00587926427480823
26 H.glabra C.hispidula 0.0303514400745692 FALSE FALSE 0.00871267513489376
27 H.glutinosum C.hispidula 5.58837814560375 FALSE FALSE 0.192301194393827
28 M.minima C.hispidula 8.23882030386403 FALSE FALSE 0.445106858324491
29 P.airoides C.hispidula 0.675525442860093 FALSE FALSE 0.0200221631108105
30 P.canescens C.hispidula -0.389925175450985 TRUE FALSE 0.00663827212654557
31 T.cyanopetala C.hispidula 3.70005309210437 FALSE FALSE 0.195830808964566
32 V.rosea C.hispidula 0.409728932212647 FALSE FALSE 0.022390130946316
33 A.calendula C.pseudevax 0.002601280960262 FALSE TRUE 0.0105888501940209
34 H.glabra C.pseudevax 0.0647323935580556 TRUE TRUE 0.0126926952827008
35 H.glutinosum C.pseudevax 6.59273053301496 FALSE TRUE 0.270077700351896
36 M.minima C.pseudevax 10.7014848611452 FALSE TRUE 0.652216798671391
37 P.airoides C.pseudevax 0.824779493309071 TRUE TRUE 0.0245643975662044
