V1 V2
A.calendula -0.768256940492116 0.0270884132695204
C.colorata -0.00227815883637703 0.00537047248317612
C.eremea -0.0276855465429024 0.0131333640183772
C.hispidula 0.0116171970986844 0.00190501036560965
C.pseudevax 0.00470569231359856 0.00506531538293722
Cheilanthes.sp -0.00946948791296154 0.00308795620341892
D.glochidiatus -0.0348517776790352 0.0207736534045004
Erodium.cygnorum 0.00224723963766488 0.003452443316676
G.berardiana 0.0792315272246548 0.00823164732149267
H.glutinosum 0.00653940748018637 0.00354787342096623
M.minima 0.00691820800875308 0.00152835925965855
M.polymorpha 0.00564670545110996 0.00125075616212209
N.rotundifolia -0.0118819280507669 0.00420976005289746
P.airoides 0.00628835489563237 0.00347753588066398
P.canescens 0.00682507495612604 0.00173814887576809
P.debilis -0.00152791755565733 0.000605789622589603
P.gaudichaudii 0.000838840308253774 0.000316969749868264
P.lessonni 0.0342071113421548 0.00492754348412589
P.muelleriana 0.000236058453585353 0.000439017604501963
S.cassiniana 0.0331392202475843 0.00463119928680571
T.cyanopetala -0.000360467781404188 0.000383790924347567
V.rosea -0.0056182370136529 0.000763895843901528
Vulpia.sp 0.0323994440339522 0.00386738040638284
W.acuminata 0.00127648963984799 0.000274621842055734
