"BOOF" "BRMA" "CAAR" "CABU" "DIER" "MACA" "MEPO" "PARO" "SIAL" "VISA"
"BOOF" 1.04943186975947 0.253681813873009 0.648467470487267 0.279776911264281 0.601529088433947 0.258405536935763 0.448095307889416 0.528395379771137 0.707994607041542 0.705239442789364
"BRMA" 0.101881230273439 0.0830040004099015 0.460534954842908 0.0328665983146644 0.627709953520173 0.0015478971043424 0.16163382675382 0.00322340924844506 0.254646242295702 0.263931059628068
"CAAR" 0.713442740597728 0.21766898493714 0.748740465284181 0.194620881691411 0.849820068722631 0.157445185627803 0.396113635294191 0.3219937183148 0.625292629073285 0.630816912700895
"CABU" 0.649595189603271 0.298612711053461 1.36568576487386 0.187018443192746 1.75314747413546 0.102861778366191 0.563884887518897 0.210476057667353 0.889156509505538 0.910619091365789
"DIER" 1.5702871918585 0.399288500221751 1.10447935072515 0.420561363555931 1.09219548305598 0.378714543572788 0.710358145286161 0.774426486498037 1.12212365887417 1.12122447592398
"MACA" 3.26548274813902 1.01425627424948 3.5494205550681 0.892550965546175 4.06492975365312 0.713393483035405 1.84940441562498 1.45899264949649 2.91923774422297 2.94746306752951
"MEPO" 0.452303096239332 0.301181481627577 1.58608404988276 0.139332769085765 2.13022820531084 0.0340154086234865 0.581352732840795 0.0697470681158577 0.916121615715379 0.946326520627784
"PARO" 17.3194590615423 3.42187364747624 5.49325349616504 4.54259501819691 2.4686834379539 4.57302338972516 5.84752725084498 9.35029236742468 9.24879667091948 9.07817867179918
"SIAL" 2.92809933050101 0.557297955612591 0.784202120614135 0.765916190187806 0.210435760788684 0.781689935875925 0.945669337764036 1.59827286411727 1.49606545613134 1.46374806281926
"VISA" 0.920676068641809 0.147782962948252 0.059641897487778 0.23814294135089 -0.201510633839743 0.256852466669864 0.241801984360319 0.525145036900288 0.382992892578171 0.368340133210133
