"dimensions" "deviance" "logLik" "AIC" "weight.1" "weight.2" "weight.3" "weight.4" "weight.5" "weight.6" "weight.7" "weight.8" "weight.9" "weight.10" "dimselect" "var.exp.1" "var.exp.2" "var.exp.3" "var.exp.4" "var.exp.5" "var.exp.6" "var.exp.7" "var.exp.8" "var.exp.9" "var.exp.10"
"Control.optim.D1.r1.Rdata" 1 57662.2635081509 31078.3894464088 62214.7788928176 22.3301855059419 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.88771156387629e-35 9.88771156387629e-35 9.88771156387629e-35 9.88771156387629e-35 9.88771156387629e-35 9.88771156387629e-35 9.88771156387629e-35 9.88771156387629e-35 9.88771156387629e-35
"Control.optim.D1.r10.Rdata" 1 57663.5489084881 31079.0321465774 62216.0642931549 22.2658154194048 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.94496460877966e-35 9.94496460877966e-35 9.94496460877966e-35 9.94496460877966e-35 9.94496460877966e-35 9.94496460877966e-35 9.94496460877966e-35 9.94496460877966e-35 9.94496460877966e-35
"Control.optim.D1.r11.Rdata" 1 57663.5281361255 31079.0217603961 62216.0435207922 22.287667391264 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.92547306230676e-35 9.92547306230676e-35 9.92547306230676e-35 9.92547306230676e-35 9.92547306230676e-35 9.92547306230676e-35 9.92547306230676e-35 9.92547306230676e-35 9.92547306230676e-35
"Control.optim.D1.r12.Rdata" 1 57663.543699963 31079.0295423149 62216.0590846297 22.2630366076652 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.94744737063877e-35 9.94744737063877e-35 9.94744737063877e-35 9.94744737063877e-35 9.94744737063877e-35 9.94744737063877e-35 9.94744737063877e-35 9.94744737063877e-35 9.94744737063877e-35
"Control.optim.D1.r13.Rdata" 1 57660.6584682026 31077.5869264347 62213.1738528693 22.2786517147137 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.93350792565066e-35 9.93350792565066e-35 9.93350792565066e-35 9.93350792565066e-35 9.93350792565066e-35 9.93350792565066e-35 9.93350792565066e-35 9.93350792565066e-35 9.93350792565066e-35
"Control.optim.D1.r14.Rdata" 1 57661.7364729687 31078.1259288177 62214.2518576354 22.1403307648002 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.00580141323446e-34 1.00580141323446e-34 1.00580141323446e-34 1.00580141323446e-34 1.00580141323446e-34 1.00580141323446e-34 1.00580141323446e-34 1.00580141323446e-34 1.00580141323446e-34
"Control.optim.D1.r15.Rdata" 1 57663.5488836321 31079.0321341494 62216.0642682988 22.2761333492528 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.93575406208215e-35 9.93575406208215e-35 9.93575406208215e-35 9.93575406208215e-35 9.93575406208215e-35 9.93575406208215e-35 9.93575406208215e-35 9.93575406208215e-35 9.93575406208215e-35
"Control.optim.D1.r16.Rdata" 1 57663.5408234909 31079.0281040788 62216.0562081576 22.2617860064031 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.94856503834633e-35 9.94856503834633e-35 9.94856503834633e-35 9.94856503834633e-35 9.94856503834633e-35 9.94856503834633e-35 9.94856503834633e-35 9.94856503834633e-35 9.94856503834633e-35
"Control.optim.D1.r17.Rdata" 1 57663.5097131293 31079.012548898 62216.025097796 22.2816237906255 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.93085810345612e-35 9.93085810345612e-35 9.93085810345612e-35 9.93085810345612e-35 9.93085810345612e-35 9.93085810345612e-35 9.93085810345612e-35 9.93085810345612e-35 9.93085810345612e-35
"Control.optim.D1.r18.Rdata" 1 57663.5221154721 31079.0187500694 62216.0375001388 22.2154783326735 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.99008339335464e-35 9.99008339335464e-35 9.99008339335464e-35 9.99008339335464e-35 9.99008339335464e-35 9.99008339335464e-35 9.99008339335464e-35 9.99008339335464e-35 9.99008339335464e-35
"Control.optim.D1.r19.Rdata" 1 57663.5390310956 31079.0272078811 62216.0544157623 22.2897855346295 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.92358676546696e-35 9.92358676546696e-35 9.92358676546696e-35 9.92358676546696e-35 9.92358676546696e-35 9.92358676546696e-35 9.92358676546696e-35 9.92358676546696e-35 9.92358676546696e-35
"Control.optim.D1.r2.Rdata" 1 57660.6583504301 31077.5868675484 62213.1737350968 22.2781661602511 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.9339409336128e-35 9.9339409336128e-35 9.9339409336128e-35 9.9339409336128e-35 9.9339409336128e-35 9.9339409336128e-35 9.9339409336128e-35 9.9339409336128e-35 9.9339409336128e-35
"Control.optim.D1.r20.Rdata" 1 57660.6652170752 31077.590300871 62213.1806017419 22.2766120194475 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.93532707630617e-35 9.93532707630617e-35 9.93532707630617e-35 9.93532707630617e-35 9.93532707630617e-35 9.93532707630617e-35 9.93532707630617e-35 9.93532707630617e-35 9.93532707630617e-35
"Control.optim.D1.r21.Rdata" 1 57663.5010734194 31079.008229043 62216.0164580861 22.3095025433218 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.90605370008145e-35 9.90605370008145e-35 9.90605370008145e-35 9.90605370008145e-35 9.90605370008145e-35 9.90605370008145e-35 9.90605370008145e-35 9.90605370008145e-35 9.90605370008145e-35
"Control.optim.D1.r22.Rdata" 1 57663.5329083846 31079.0241465256 62216.0482930513 22.1991355617944 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.00047979970593e-34 1.00047979970593e-34 1.00047979970593e-34 1.00047979970593e-34 1.00047979970593e-34 1.00047979970593e-34 1.00047979970593e-34 1.00047979970593e-34 1.00047979970593e-34
"Control.optim.D1.r23.Rdata" 1 57663.5202603856 31079.0178225261 62216.0356450523 22.2815625264978 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.93091271418594e-35 9.93091271418594e-35 9.93091271418594e-35 9.93091271418594e-35 9.93091271418594e-35 9.93091271418594e-35 9.93091271418594e-35 9.93091271418594e-35 9.93091271418594e-35
"Control.optim.D1.r24.Rdata" 1 57660.6770842329 31077.5962344498 62213.1924688996 22.3084032986694 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.90702996402035e-35 9.90702996402035e-35 9.90702996402035e-35 9.90702996402035e-35 9.90702996402035e-35 9.90702996402035e-35 9.90702996402035e-35 9.90702996402035e-35 9.90702996402035e-35
"Control.optim.D1.r25.Rdata" 1 57663.5397872103 31079.0275859385 62216.055171877 22.2773058035576 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.93470825239801e-35 9.93470825239801e-35 9.93470825239801e-35 9.93470825239801e-35 9.93470825239801e-35 9.93470825239801e-35 9.93470825239801e-35 9.93470825239801e-35 9.93470825239801e-35
"Control.optim.D1.r26.Rdata" 1 57663.5494756688 31079.0324301678 62216.0648603355 22.2686349224969 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.94244644065175e-35 9.94244644065175e-35 9.94244644065175e-35 9.94244644065175e-35 9.94244644065175e-35 9.94244644065175e-35 9.94244644065175e-35 9.94244644065175e-35 9.94244644065175e-35
"Control.optim.D1.r27.Rdata" 1 57663.5155096532 31079.0154471599 62216.0308943199 22.2968454010154 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.91730353535743e-35 9.91730353535743e-35 9.91730353535743e-35 9.91730353535743e-35 9.91730353535743e-35 9.91730353535743e-35 9.91730353535743e-35 9.91730353535743e-35 9.91730353535743e-35
