"BOOF" "BRMA" "CAAR" "CABU" "DIER" "MACA" "MEPO" "PARO" "SIAL" "VISA"
"BOOF" 1.90993904836733 0.91868101573929 0.69348742825826 0.768580958200125 3.25041831369821 0.321132009848256 0.265572589028995 0.346640216607458 2.16092350307373 0.279764431822716
"BRMA" 2.08641925932097 0.638620892888712 3.49062884408605 0.0783725757174137 2.06733061662029 0.66762421814971 1.12323745829458 1.91815054781216 2.23081100202739 0.11334520298175
"CAAR" 1.29228142171457 0.585327070002574 1.94203903428785 0.0725774941261331 0.523743311529634 0.523398327330985 0.323508613633148 0.348357346810855 0.931044885320005 0.172839952394225
"CABU" 2.13227527447511 1.03391224953451 3.46879330620033 0.157221640926957 1.84540990591574 0.714595283526607 1.16165928950214 0.475189265538402 2.29990087338731 1.9662715866485
"DIER" 0.912923208269997 0.838609931215932 1.02970400293141 0.295294851501882 1.07418266933967 0.241132121403489 0.590452824456603 1.8263586551209 1.04722424287477 1.37638141943177
"MACA" 4.30795273488836 0.183121139288679 3.92840937099906 0.858127507114679 6.79997117135195 0.909643396932812 0.772282596403868 3.12847717791164 4.13404447519181 2.33615795429604
"MEPO" 0.632680233004901 0.18617185843593 1.19374107249262 0.154433574023868 1.7616755633107 0.0273881313721199 0.799905446069912 0.0558993574432384 0.772827292229478 1.26106065939597
"PARO" 10.774385892483 1.81551035939374 10.2789680614848 2.26389935470871 1.98837336293486 4.64061543806634 4.00440692001881 6.8415110882726 10.9744334334112 5.70449774015679
"SIAL" 2.05290983735032 0.499904399675272 0.781332147804113 0.878087023160731 0.205993737541992 0.87701078274828 1.07216210271017 1.28409386821919 1.37301556748116 1.64629630710256
"VISA" 0.508222459204338 0.678109471571931 0.0927521063723695 0.69804266514235 -0.0603291022028676 0.223234585368315 1.61350846091271 0.68892902058496 0.38955372058707 0.456380779812041
