"BOOF" "BRMA" "CAAR" "CABU" "DIER" "MACA" "MEPO" "PARO" "SIAL" "VISA"
"BOOF" 1.39641721688988 2.75783797550522 1.69951695376218 0.779572282404189 2.75242556287577 0.642109162130812 2.99795507794528 1.43663353879269 0.831122194311369 1.09562694980726
"BRMA" 2.15092654205926 2.89866075995284 1.27436422330398 0.472898447688361 1.83157549989917 0.266327430697347 0.142651053871984 3.11822046178683 1.14581475036656 1.97044401111671
"CAAR" 0.0869322539400125 0.06139803543662 0.0467584090526659 0.0155646324306082 0.207310423690586 0.0792811839855357 0.0590369414310619 0.00540446331870747 0.0581304228337968 0.102769360413017
"CABU" 0.986339041957566 0.888633293281069 0.536595381754154 1.88488881420538 1.06499443149591 0.645629132587443 0.561813876884237 1.26951648918282 1.41245429636676 1.10404305625346
"DIER" 1.49512881425225 0.40057536773459 0.15975975940274 -0.00546444628191633 0.14629210577 0.0495191898983103 0.593382131700656 0.0195739407408949 0.0690294830314642 0.705392688437964
"MACA" 4.8344054826226 2.29070298080902 2.70889784378684 0.977137419676125 2.99984687956691 0.965516001693883 2.22939342088983 2.21903421331377 2.11759326985357 1.84399134896343
"MEPO" 0.884121259208859 1.21591894778723 1.10402405846459 0.198464515986948 0.447049671705156 0.134048332294396 0.972081421872501 0.619997677722281 1.18340427912313 1.4449365858689
"PARO" 1.26823862250379 2.52542761958198 1.99513359147231 0.266517658569893 1.69754056348459 0.422246724425909 1.48219514949569 0.677402841531259 1.34705951163253 3.43898616578159
"SIAL" 1.15276866670319 2.36553932622666 3.55275883438912 1.40717351729398 3.91052955805802 2.95741823088967 3.97860116061935 1.73886498226531 1.72586480931939 5.42201710017588
"VISA" 0.602659961668513 0.283685606588019 0.198000949046697 0.21277120449532 0.411398148560747 0.0829539885685977 0.505916501995535 0.139182971071086 0.417896197635699 0.481941791599292
