"dimensions" "deviance" "logLik" "AIC" "weight.1" "weight.2" "weight.3" "weight.4" "weight.5" "weight.6" "weight.7" "weight.8" "weight.9" "weight.10" "dimselect" "var.exp.1" "var.exp.2" "var.exp.3" "var.exp.4" "var.exp.5" "var.exp.6" "var.exp.7" "var.exp.8" "var.exp.9" "var.exp.10"
"Treatment.optim.D1.r1.Rdata" 1 3890.75319737318 3202.61018599312 6463.22037198623 14.1035363133014 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47870252275191e-34 2.47870252275191e-34 2.47870252275191e-34 2.47870252275191e-34 2.47870252275191e-34 2.47870252275191e-34 2.47870252275191e-34 2.47870252275191e-34 2.47870252275191e-34
"Treatment.optim.D1.r10.Rdata" 1 3890.74651607237 3202.60684534271 6463.21369068543 14.1034104967698 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47874674796189e-34 2.47874674796189e-34 2.47874674796189e-34 2.47874674796189e-34 2.47874674796189e-34 2.47874674796189e-34 2.47874674796189e-34 2.47874674796189e-34 2.47874674796189e-34
"Treatment.optim.D1.r11.Rdata" 1 3890.75341840043 3202.61029650674 6463.22059301349 14.1042512910009 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47845122658993e-34 2.47845122658993e-34 2.47845122658993e-34 2.47845122658993e-34 2.47845122658993e-34 2.47845122658993e-34 2.47845122658993e-34 2.47845122658993e-34 2.47845122658993e-34
"Treatment.optim.D1.r12.Rdata" 1 3890.73420521679 3202.60068991493 6463.20137982985 14.1039611947886 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47855318329523e-34 2.47855318329523e-34 2.47855318329523e-34 2.47855318329523e-34 2.47855318329523e-34 2.47855318329523e-34 2.47855318329523e-34 2.47855318329523e-34 2.47855318329523e-34
"Treatment.optim.D1.r13.Rdata" 1 3890.7541222435 3202.61064842828 6463.22129685656 14.1034476099757 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47873370234073e-34 2.47873370234073e-34 2.47873370234073e-34 2.47873370234073e-34 2.47873370234073e-34 2.47873370234073e-34 2.47873370234073e-34 2.47873370234073e-34 2.47873370234073e-34
"Treatment.optim.D1.r14.Rdata" 1 3890.75366820691 3202.61042140999 6463.22084281997 14.1037934688969 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47861213481286e-34 2.47861213481286e-34 2.47861213481286e-34 2.47861213481286e-34 2.47861213481286e-34 2.47861213481286e-34 2.47861213481286e-34 2.47861213481286e-34 2.47861213481286e-34
"Treatment.optim.D1.r15.Rdata" 1 3890.73420725286 3202.60069093296 6463.20138186592 14.1035261428587 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47870609767508e-34 2.47870609767508e-34 2.47870609767508e-34 2.47870609767508e-34 2.47870609767508e-34 2.47870609767508e-34 2.47870609767508e-34 2.47870609767508e-34 2.47870609767508e-34
"Treatment.optim.D1.r16.Rdata" 1 3890.74948549003 3202.60833005155 6463.21666010309 14.1032919394556 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47878842259977e-34 2.47878842259977e-34 2.47878842259977e-34 2.47878842259977e-34 2.47878842259977e-34 2.47878842259977e-34 2.47878842259977e-34 2.47878842259977e-34 2.47878842259977e-34
"Treatment.optim.D1.r17.Rdata" 1 3890.75167914402 3202.60942687854 6463.21885375708 14.1040756501311 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47851295627013e-34 2.47851295627013e-34 2.47851295627013e-34 2.47851295627013e-34 2.47851295627013e-34 2.47851295627013e-34 2.47851295627013e-34 2.47851295627013e-34 2.47851295627013e-34
"Treatment.optim.D1.r18.Rdata" 1 3890.73420625304 3202.60069043305 6463.2013808661 14.1039952844282 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47854120188416e-34 2.47854120188416e-34 2.47854120188416e-34 2.47854120188416e-34 2.47854120188416e-34 2.47854120188416e-34 2.47854120188416e-34 2.47854120188416e-34 2.47854120188416e-34
"Treatment.optim.D1.r19.Rdata" 1 3890.75048579433 3202.6088302037 6463.21766040739 14.1042235359893 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47846098104542e-34 2.47846098104542e-34 2.47846098104542e-34 2.47846098104542e-34 2.47846098104542e-34 2.47846098104542e-34 2.47846098104542e-34 2.47846098104542e-34 2.47846098104542e-34
"Treatment.optim.D1.r2.Rdata" 1 3890.7342043466 3202.60068947983 6463.20137895965 14.1039266463355 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47856532605312e-34 2.47856532605312e-34 2.47856532605312e-34 2.47856532605312e-34 2.47856532605312e-34 2.47856532605312e-34 2.47856532605312e-34 2.47856532605312e-34 2.47856532605312e-34
"Treatment.optim.D1.r20.Rdata" 1 3890.75366401265 3202.61041931285 6463.22083862571 14.1034418974442 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47873571033954e-34 2.47873571033954e-34 2.47873571033954e-34 2.47873571033954e-34 2.47873571033954e-34 2.47873571033954e-34 2.47873571033954e-34 2.47873571033954e-34 2.47873571033954e-34
"Treatment.optim.D1.r21.Rdata" 1 3890.74653404199 3202.60685432753 6463.21370865505 14.1039785276768 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47854709133207e-34 2.47854709133207e-34 2.47854709133207e-34 2.47854709133207e-34 2.47854709133207e-34 2.47854709133207e-34 2.47854709133207e-34 2.47854709133207e-34 2.47854709133207e-34
"Treatment.optim.D1.r22.Rdata" 1 3890.75254352761 3202.60985907034 6463.21971814067 14.1034557673715 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47873083495752e-34 2.47873083495752e-34 2.47873083495752e-34 2.47873083495752e-34 2.47873083495752e-34 2.47873083495752e-34 2.47873083495752e-34 2.47873083495752e-34 2.47873083495752e-34
"Treatment.optim.D1.r23.Rdata" 1 3890.75226376464 3202.60971918885 6463.2194383777 14.1040495613629 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.4785221254679e-34 2.4785221254679e-34 2.4785221254679e-34 2.4785221254679e-34 2.4785221254679e-34 2.4785221254679e-34 2.4785221254679e-34 2.4785221254679e-34 2.4785221254679e-34
"Treatment.optim.D1.r24.Rdata" 1 3890.7342051343 3202.60068987368 6463.20137974736 14.1035534198543 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47869650979493e-34 2.47869650979493e-34 2.47869650979493e-34 2.47869650979493e-34 2.47869650979493e-34 2.47869650979493e-34 2.47869650979493e-34 2.47869650979493e-34 2.47869650979493e-34
"Treatment.optim.D1.r25.Rdata" 1 3890.7342071811 3202.60069089708 6463.20138179415 14.1039798160869 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47854663849747e-34 2.47854663849747e-34 2.47854663849747e-34 2.47854663849747e-34 2.47854663849747e-34 2.47854663849747e-34 2.47854663849747e-34 2.47854663849747e-34 2.47854663849747e-34
"Treatment.optim.D1.r26.Rdata" 1 3890.73420470683 3202.60068965994 6463.20137931988 14.1040603285387 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.4785183412139e-34 2.4785183412139e-34 2.4785183412139e-34 2.4785183412139e-34 2.4785183412139e-34 2.4785183412139e-34 2.4785183412139e-34 2.4785183412139e-34 2.4785183412139e-34
